Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;240;Nu pour « la Mère ».;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;241;Nu pour « Jeune Fille ».;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;242;Etude « le Blessé ».;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;243;-— » Enfat aux Fruits.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;244;Profit de Blonde.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;245;Fierté ;(tête).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;246;Sommeil.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;247;Nu de « Douleur ».;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;248;Miss aux cheveux dénoués.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;254;Jeune Femme.;;
THOLENAAR.; — 24, avenue de Saxe.;255;Le Soir ;(marbre).;
THOLENAAR.; — 24, avenue de Saxe.;256;L'esquisse ;(bronze).;
VASSELOT (Marquest de).; — 7, rue Talma.;257;Balzac ;(buste fait ou 1863, exécuté en marbre pour la Comédie-Française et pour le musée de Tours).;
VASSELOT (Marquest de).; — 7, rue Talma.;258;Balzac, âgé de 30 ans, pour Mme Duhamel, née de Surville.;âgé de 30 ans, pour Mme Duhamel, née de Surville.;
VASSELOT (Marquest de).; — 7, rue Talma.;259;Balzac ;(esquisse pour un monument du Palais-Royal,;
VASSELOT (Marquest de).; — 7, rue Talma.;1887;).;;
VASSELOT (Marquest de).; — 7, rue Talma.;260;Balzac;;
VASSELOT (Marquest de).; — 7, rue Talma.;1871;;;
VASSELOT (Marquest de).; — 7, rue Talma.;261;Balzac : La Comédie humaine ;(bas-relief do 103 personnages).;
VASSELOT (Marquest de).; — 7, rue Talma.;262;Super vitia pudor ;(statuette bronze).;
VASSELOT (Marquest de).; — 7, rue Talma.;263;Super venustatem spiritus ;(statuette bronze).;
VASSELOT (Marquest de).; — 7, rue Talma.;264;Ostensoir des religions ;(esquisse).;
VASSELOT (Marquest de).; — 7, rue Talma.;265;Evette ;(buste cire, trouvé à Passy en, 1895).;
VASSELOT (Marquest de).; — 7, rue Talma.;266;Wagner ;(médaillon cire).;
VASSELOT (Marquest de).; — 7, rue Talma.;267;Musset ;(esquisse de monument.;
VASSELOT (Marquest de).; — 7, rue Talma.;268;J.-J. Rousseau ;(Statuette bronze, cire perdue, fondue. au Japon.;
WALGREN.; — 14, avenue du Maine.;269;Mourir et renaître ;(bronze).;
WALGREN.; — 14, avenue du Maine.;270;Devant l'église ;(bronze), appartient à M. Poterel.;
WALGREN.; — 14, avenue du Maine.;271;L'aveugle ;(bronze).;
WALGREN.; — 14, avenue du Maine.;272;Simplicité ;(bronze).;
WALGREN.; — 14, avenue du Maine.;273;Douleur ;(pierre).;
WALGREN.; — 14, avenue du Maine.;274;Déluge ;(pierre).;
ZILCREN (Ph.).; — Helene-Villa, La Haye.;275;Le poète Paul Verlaine, d’après un croquis de JAN ROOROP ;d’après un croquis de JAN ROOROP (pointe sèche).;
